name,imgUrl,price,orderNumber,detail,instructions,expandableName,expandableOrder,expandablePrice
Schneeräumschild,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Motorschubkarren-CarryBenzinmotor.png,269,5096-1-ML,"ausgerüstet mit einem Briggs & Stratton 4-Takt Motor Series 450 E, mit 125 ccm Radantrieb über Schneckengetriebe im Ölbad 1 Vorwärtsgang: 3,65 km/h 1 Rückwärtsgang: 2,0 km/h Keilriemenkupplung Differentialartige Radschaltung Durch einfaches Umklappen der Radmitnehmerbügel auf starr oder mit Wendefreilauf Automatische Sicherheitsbremse Durch Loslassen der Fahrhebel wird die Maschine sofort abgebremst Luftbereifte Antriebsräder 13X5,00-6 AS Außenspurbreite: 53 cm Max. Zuladung: 100 kg Max. Zuladung: 75 kg (am Hang) Max. Steigung: 35 % Verzinkte Kippmulde mit ca. 85 Liter Kippmuldenhöhe 57 cm Einfaches Abkippen der Mulde mit dem Handholm Maße: Länge 143,5 cm, Breite 68 cm, Höhe 97 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-Carry-Benzinmotor.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Benzin-Motorschubkarre-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Benzin-Hebevorsatz-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Benzin-Transportplattform-Bedienungsanleitung.pdf,,,
Carry Akku - Motorschubkarre Carry Akku,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Motorschubkarren-CarryAkku.png,2299,5000-90,"ausgerüstet mit einem 24V Elektromotor mit 300 W mit 2 Akkus 55Ah Ladegerät inklusive Laufzeit mit vollem Akku ca. 2,5 Stunden bei Dauerbetrieb im flachen Gelände mit Volllast (100 kg) Radantrieb über Schneckengetriebe im Ölbad 1 Vorwärtsgang mit 3,1 km/h 1 Rückwärtsgang mit 1,7 km/h Keilriemenkupplung Differentialartige Radschaltung Durch einfaches Umklappen der Radmitnehmerbügel auf starr oder mit Wendefreilauf Automatische Sicherheitsbremse Durch Loslassen der Fahrhebel wird die Maschine sofort abgebremst Luftbereifte Antriebsräder 13X5,00-6 AS Außenspurbreite: 53 cm Max. Zuladung: 100 kg Max. Zuladung: 75 kg (am Hang) Max. Steigung: 35 % Verzinkte Kippmulde mit ca. 85 Liter Kippmuldenhöhe 57 cm Einfaches Abkippen der Mulde mit dem Handholm Maße: Länge 143,5 cm, Breite 68 cm, Höhe 97 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-Carry-Akku.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Akku-Motorschubkarre-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Akku-Hebevorsatz-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Akku-Transportplattform-Bedienungsanleitung.pdf,,,
Carry - Motorschubkarre Carry mit Briggs & Stratton 4-Takt Motor - Schneeräumschild,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Motorschubkarren-CarryBenzinmotor.png,1045,5000-1,"ausgerüstet mit einem Briggs & Stratton 4-Takt Motor Series 450 E, mit 125 ccm Radantrieb über Schneckengetriebe im Ölbad 1 Vorwärtsgang: 3,65 km/h 1 Rückwärtsgang: 2,0 km/h Keilriemenkupplung Differentialartige Radschaltung Durch einfaches Umklappen der Radmitnehmerbügel auf starr oder mit Wendefreilauf Automatische Sicherheitsbremse Durch Loslassen der Fahrhebel wird die Maschine sofort abgebremst Luftbereifte Antriebsräder 13X5,00-6 AS Außenspurbreite: 53 cm Max. Zuladung: 100 kg Max. Zuladung: 75 kg (am Hang) Max. Steigung: 35 % Verzinkte Kippmulde mit ca. 85 Liter Kippmuldenhöhe 57 cm Einfaches Abkippen der Mulde mit dem Handholm Maße: Länge 143,5 cm, Breite 68 cm, Höhe 97 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-Carry-Benzinmotor.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Benzin-Motorschubkarre-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Benzin-Hebevorsatz-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Benzin-Transportplattform-Bedienungsanleitung.pdf,Schneeräumschild,5096-1-ML,269
Carry - Motorschubkarre Carry mit Honda 4-Takt Motor - Schneeräumschild,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Motorschubkarren-CarryBenzinmotor.png,1249,5000-6,"ausgerüstet mit einem Honda 4-Takt Motor Modell GCV 160, mit 160 ccm, OHV Technik Radantrieb über Schneckengetriebe im Ölbad 1 Vorwärtsgang: 3,65 km/h 1 Rückwärtsgang: 2,0 km/h Keilriemenkupplung Differentialartige Radschaltung Durch einfaches Umklappen der Radmitnehmerbügel auf starr oder mit Wendefreilauf Automatische Sicherheitsbremse Durch Loslassen der Fahrhebel wird die Maschine sofort abgebremst Luftbereifte Antriebsräder 13X5,00-6 AS Außenspurbreite: 53 cm Max. Zuladung: 100 kg Max. Zuladung: 75 kg (am Hang) Max. Steigung: 35 % Verzinkte Kippmulde mit ca. 85 Liter Kippmuldenhöhe 57 cm Einfaches Abkippen der Mulde mit dem Handholm Maße: Länge 143,5 cm, Breite 68 cm, Höhe 97 cm",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-Carry-Benzinmotor.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Benzin-Motorschubkarre-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Benzin-Hebevorsatz-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Benzin-Transportplattform-Bedienungsanleitung.pdf,Schneeräumschild,5096-1-ML,269
Schneeräumschild,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Motorkarrenspritze-Carry-Sprayer.png,259,5096-1-ML,"ausgerüstet mit einem Briggs & Stratton 4-Takt Motor Series 675, mit 160 ccm Radantrieb über Schneckengetriebe im Ölbad 1 Vorwärtsgang mit 3,65 km/h 1 Rückwärtsgang mit 2,0 km/h Keilriemenkupplung Differentialartige Radschaltung Durch einfaches Umklappen der Radmitnehmerbügel auf starr oder mit Wendefreilauf Automatische Sicherheitsbremse Durch Loslassen der Fahrhebel wird die Maschine sofort abgebremst Luftbereifte Antriebsräder 13X5,00-6 AS Außenspurbreite: 53 cm Aufbauspritze austauschbar Zuschaltbare und abnehmbare Hochdruck-Membranpumpe mit einem Förderstrom von max. 29 l/min. und einem Druck von 0-30 bar. Druckregulierung über Druckeinstellventil. Behältervolumen 120 Liter, Injektor-Rührdüse sowie Saug- und Druckfilter Schlauchhaspel (für 50 m 1/2” Hochdruckschlauch) über Handkurbel aufrollbar 20 Meter 1/2” Hochdruckschlauch Hochdruckspritzpistole mit Strahlverstellung",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-Carry-Sprayer.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Sprayer-Motorkarrenspritze-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Sprayer-Hebevorsatz-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Sprayer-Schubkarrenaufsatz-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Sprayer-Transportplattform-Bedienungsanleitung.pdf,,,
Carry Sprayer - Motorkarrenspritze Carry Sprayer - Schneeräumschild,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Motorkarrenspritze-Carry-Sprayer.png,2710,5000-80,"ausgerüstet mit einem Briggs & Stratton 4-Takt Motor Series 675, mit 160 ccm Radantrieb über Schneckengetriebe im Ölbad 1 Vorwärtsgang mit 3,65 km/h 1 Rückwärtsgang mit 2,0 km/h Keilriemenkupplung Differentialartige Radschaltung Durch einfaches Umklappen der Radmitnehmerbügel auf starr oder mit Wendefreilauf Automatische Sicherheitsbremse Durch Loslassen der Fahrhebel wird die Maschine sofort abgebremst Luftbereifte Antriebsräder 13X5,00-6 AS Außenspurbreite: 53 cm Aufbauspritze austauschbar Zuschaltbare und abnehmbare Hochdruck-Membranpumpe mit einem Förderstrom von max. 29 l/min. und einem Druck von 0-30 bar. Druckregulierung über Druckeinstellventil. Behältervolumen 120 Liter, Injektor-Rührdüse sowie Saug- und Druckfilter Schlauchhaspel (für 50 m 1/2” Hochdruckschlauch) über Handkurbel aufrollbar 20 Meter 1/2” Hochdruckschlauch Hochdruckspritzpistole mit Strahlverstellung",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-Carry-Sprayer.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Sprayer-Motorkarrenspritze-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Sprayer-Hebevorsatz-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Sprayer-Schubkarrenaufsatz-Bedienungsanleitung.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-Carry-Sprayer-Transportplattform-Bedienungsanleitung.pdf,Schneeräumschild,5096-1-ML,259
Balkenmäher mit Doppelmesser-Mähsystem,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-E450-Balkenmaeher-mit-Doppelmesser.png,2734,1965-50 / 1965-15,"ausgerüstet mit einem Honda 4-Takt Motor Modell GX 270, mit 270 ccm, OHV Technik Zahnradschaltgetriebe mit 2 Vor- und 2 Rückwärtsgängen bei gezogenen Anbaugeräten und 1.VG 1,1 km/h,2.VG 2,6 km/h,1.RG 1,1 km/h,2.RG 2,6 km/h * 2 Vor- und 2 Rückwärtsgänge bei geschobenen Anbaugeräten 1.VG 1,1 km/h, 2.VG 2,6 km/h, 1.RG 1,1 km/h, 2.RG 2,6 km/h * ( *Geschwindigkeiten mit 16x6,50-8 AS Räder) CE-Sicherungsstopeinrichtung, Konuskupplung Lenk- und Feststellbremse, Differenzial und Differenzialsperre Führungsholm 180° schwenkbar, höhenverstellbar, seitenverstellbar bei Heckanbaugeräten, Fahrantrieb und Anbaugeräte separat am Holm schaltbar Automatische Fräsabschaltung beim Rückwärtsfahren Antrieb der Anbaugeräte über Zapfwelle Anbaugeräteaufnahme mit Flanschkupplung Gangunabhängige Zapfwelle mit 965 U/min Grundmaschine ohne Räder und AnbaugerätESM Schwingen-Doppelmesserantrieb Laufruhiger und vibrationsarmer Mähantrieb, Ober- und Untermesser sind gegenläufig für einen sauberen und exakten Schnitt, mitschwingende Grasverteilerschutzhaube für einen gleichmäßigen Grasabfluss. Messerkopflager abschmierbar.ESM Schwinghebel-Doppelmesserbalken mit 117 cm Schnittbreite Mit abschmierbaren Messerköpfen, Obermesserkopf mit Grasverteilerstab inkl. starren GussgleitsohlenAuch mit 137 cm Schnittbreite erhältlich.",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-E450-Grundmaschine.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-E450-Doppelmessermaehsystem.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-E450-Bedienungsanleitung.pdf,,,
"E450 - Grundmaschine Honda GX 270, 270 ccm - Balkenmäher mit Doppelmesser-Mähsystem",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-E450-Balkenmaeher-mit-Doppelmesser.png,3555,1900-6 / 1931-4,"ausgerüstet mit einem Honda 4-Takt Motor Modell GX 270, mit 270 ccm, OHV Technik Zahnradschaltgetriebe mit 2 Vor- und 2 Rückwärtsgängen bei gezogenen Anbaugeräten und 1.VG 1,1 km/h,2.VG 2,6 km/h,1.RG 1,1 km/h,2.RG 2,6 km/h * 2 Vor- und 2 Rückwärtsgänge bei geschobenen Anbaugeräten 1.VG 1,1 km/h, 2.VG 2,6 km/h, 1.RG 1,1 km/h, 2.RG 2,6 km/h * ( *Geschwindigkeiten mit 16x6,50-8 AS Räder) CE-Sicherungsstopeinrichtung, Konuskupplung Lenk- und Feststellbremse, Differenzial und Differenzialsperre Führungsholm 180° schwenkbar, höhenverstellbar, seitenverstellbar bei Heckanbaugeräten, Fahrantrieb und Anbaugeräte separat am Holm schaltbar Automatische Fräsabschaltung beim Rückwärtsfahren Antrieb der Anbaugeräte über Zapfwelle Anbaugeräteaufnahme mit Flanschkupplung Gangunabhängige Zapfwelle mit 965 U/min Grundmaschine ohne Räder und AnbaugerätESM Schwingen-Doppelmesserantrieb Laufruhiger und vibrationsarmer Mähantrieb, Ober- und Untermesser sind gegenläufig für einen sauberen und exakten Schnitt, mitschwingende Grasverteilerschutzhaube für einen gleichmäßigen Grasabfluss. Messerkopflager abschmierbar.ESM Schwinghebel-Doppelmesserbalken mit 117 cm Schnittbreite Mit abschmierbaren Messerköpfen, Obermesserkopf mit Grasverteilerstab inkl. starren GussgleitsohlenAuch mit 137 cm Schnittbreite erhältlich.",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-E450-Grundmaschine.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-E450-Doppelmessermaehsystem.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-E450-Bedienungsanleitung.pdf,Balkenmäher mit Doppelmesser-Mähsystem,1965-50 / 1965-15,2734
Schneeräumer,https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-E450-Schneeraeumschild.png,555,1996-7,"ausgerüstet mit einem Honda 4-Takt Motor Modell GX 270, mit 270 ccm, OHV Technik Zahnradschaltgetriebe mit 2 Vor- und 2 Rückwärtsgängen bei gezogenen Anbaugeräten und 1.VG 1,1 km/h,2.VG 2,6 km/h,1.RG 1,1 km/h,2.RG 2,6 km/h * 2 Vor- und 2 Rückwärtsgänge bei geschobenen Anbaugeräten 1.VG 1,1 km/h, 2.VG 2,6 km/h, 1.RG 1,1 km/h, 2.RG 2,6 km/h * ( *Geschwindigkeiten mit 16x6,50-8 AS Räder) CE-Sicherungsstopeinrichtung, Konuskupplung Lenk- und Feststellbremse, Differenzial und Differenzialsperre Führungsholm 180° schwenkbar, höhenverstellbar, seitenverstellbar bei Heckanbaugeräten, Fahrantrieb und Anbaugeräte separat am Holm schaltbar Automatische Fräsabschaltung beim Rückwärtsfahren Antrieb der Anbaugeräte über Zapfwelle Anbaugeräteaufnahme mit Flanschkupplung Gangunabhängige Zapfwelle mit 965 U/min Grundmaschine ohne Räder und AnbaugerätSchneeräumschild mit 125 cm Räumbreite, Schildhöhe 40 cm, vom Holm aus mit einer Hebelstange beidseitig schwenkbar, mit verstellbaren Gleitkufen und Stahlschürfleiste",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-E450-Grundmaschine.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-E450-Bedienungsanleitung.pdf,,,
"E450 - Grundmaschine Honda GX 270, 270 ccm - Schneeräumer",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Geraete/Mehrzweckgeraet-E450-Schneeraeumschild.png,3555,1900-6 / 1931-4,"ausgerüstet mit einem Honda 4-Takt Motor Modell GX 270, mit 270 ccm, OHV Technik Zahnradschaltgetriebe mit 2 Vor- und 2 Rückwärtsgängen bei gezogenen Anbaugeräten und 1.VG 1,1 km/h,2.VG 2,6 km/h,1.RG 1,1 km/h,2.RG 2,6 km/h * 2 Vor- und 2 Rückwärtsgänge bei geschobenen Anbaugeräten 1.VG 1,1 km/h, 2.VG 2,6 km/h, 1.RG 1,1 km/h, 2.RG 2,6 km/h * ( *Geschwindigkeiten mit 16x6,50-8 AS Räder) CE-Sicherungsstopeinrichtung, Konuskupplung Lenk- und Feststellbremse, Differenzial und Differenzialsperre Führungsholm 180° schwenkbar, höhenverstellbar, seitenverstellbar bei Heckanbaugeräten, Fahrantrieb und Anbaugeräte separat am Holm schaltbar Automatische Fräsabschaltung beim Rückwärtsfahren Antrieb der Anbaugeräte über Zapfwelle Anbaugeräteaufnahme mit Flanschkupplung Gangunabhängige Zapfwelle mit 965 U/min Grundmaschine ohne Räder und AnbaugerätSchneeräumschild mit 125 cm Räumbreite, Schildhöhe 40 cm, vom Holm aus mit einer Hebelstange beidseitig schwenkbar, mit verstellbaren Gleitkufen und Stahlschürfleiste",https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Ersatzteillisten/ET-Liste-E450-Grundmaschine.pdf https://www.eurosystems-motorgeraete.de/fileadmin/user_upload/Bedienungsanleitung/eurosystems-E450-Bedienungsanleitung.pdf,Schneeräumer,1996-7,555
